#process o2a  80MPIpn 40MPIpn 20MPIpn 40comp 40scat a2o 80MPIpn 40MPIpn 20MPIpn  40comp 40scat  orgo2a
40              9.14   11.6    11.7    11.7   11.6      13.9    16.9    16.6     16.6    16.3    13.3
80              6.72    8.67    8.45    8.61   8.62     10.9    14.5    12.6     12.7    14.6     9.80
160             5.02    6.14    5.92    6.21   6.19      9.02   11.1    10.5     10.7    10.8     7.33
320             3.73    4.55    4.74    4.85   4.65      8.38   10.4    11.4      9.14    9.71    5.75
640             3.34    3.80    3.82    3.74   4.82      8.80    8.28    8.37     8.63    8.25    4.83
1280            3.49    3.50    4.67    3.52   3.62      9.21    8.37   13.1      8.50    8.60    4.65
2560            3.70    3.63    7.44    3.38   4.19      8.74    8.74     -        8.33   10.7    3.20
