#process o2a  80MPIpn 40MPIpn 20MPIpn 40comp 40scat a2o 80MPIpn 40MPIpn 20MPIpn  40comp 40scat      orqa2o
40            99.9    141.   140.     140.    140.        79.4    108.    109.     108.    108.      141.
80            52.2     71.0   70.4     70.4    70.4       40.3     54.1    54.2     54.0    54.1      70.5
160           26.5     35.3   35.3     35.4    35.2       20.4     27.3    27.1     27.2    27.6      35.3
320           13.2     17.7   17.7     17.7    17.7       10.4     15.5    16.2     13.7    13.8      17.7
640            7.03     8.89  13.2      -       8.99       5.43     7.34    8.00     7.10    7.10      8.94
1280           4.63     4.62   5.76     4.93    5.12       3.43     4.09    5.23     4.04    4.20      5.01
2560           3.00     3.41   6.81     3.45    3.25       2.82     2.89    5.46     3.10    3.05      3.00
